
2021-08-05 15:38:37

+------+------------------+--------+--------+--------+----------+
| 排名 |    国家或地区    | 金牌数 | 银牌数 | 铜牌数 | 总获奖数 |
|  14  |  加拿大          |   6    |   6    |   11   |    23    |
|  15  |   韩国           |   6    |   4    |   10   |    20    |
|  16  |   古巴           |   6    |   3    |   5    |    14    |
|  17  |   波兰           |   4    |   5    |   5    |    14    |
|  18  |   捷克           |   4    |   4    |   3    |    11    |
|  19  |   挪威           |   4    |   2    |   1    |    7     |
|  20  |  牙买加          |   4    |   1    |   4    |    9     |
|  21  |  西班牙          |   3    |   8    |   6    |    17    |
|  22  |   瑞典           |   3    |   6    |   0    |    9     |
|  23  |   瑞士           |   3    |   4    |   6    |    13    |
|  24  |   丹麦           |   3    |   4    |   4    |    11    |
|  25  |  肯尼亚          |   3    |   4    |   2    |    9     |
|  26  |  克罗地亚        |   3    |   3    |   2    |    8     |
|  27  |   伊朗           |   3    |   2    |   2    |    7     |
|  28  |  比利时          |   3    |   1    |   2    |    6     |
|  29  | 斯洛文尼亚       |   3    |   1    |   1    |    5     |
|  30  |  格鲁吉亚        |   2    |   5    |   1    |    8     |
|  31  |  中国台北        |   2    |   4    |   6    |    12    |
|  32  |  土耳其          |   2    |   2    |   9    |    13    |
|  33  |  塞尔维亚        |   2    |   1    |   4    |    7     |
|  34  |  保加利亚        |   2    |   1    |   2    |    5     |
|  35  |  乌干达          |   2    |   1    |   1    |    4     |
|  36  |  厄瓜多尔        |   2    |   1    |   0    |    3     |
|  37  |  以色列          |   2    |   0    |   2    |    4     |
|  37  | 乌兹别克斯坦     |   2    |   0    |   2    |    4     |
|  39  |   希腊           |   2    |   0    |   1    |    3     |
|  39  |  卡塔尔          |   2    |   0    |   1    |    3     |
|  41  |  科索沃          |   2    |   0    |   0    |    2     |
|  41  |  巴哈马          |   2    |   0    |   0    |    2     |
|  43  |  乌克兰          |   1    |   5    |   12   |    18    |
|  44  |  白俄罗斯        |   1    |   3    |   3    |    7     |
|  45  |  罗马尼亚        |   1    |   3    |   0    |    4     |
|  45  |  委内瑞拉        |   1    |   3    |   0    |    4     |
|  47  |   印度           |   1    |   2    |   4    |    7     |
|  48  |  中国香港        |   1    |   2    |   2    |    5     |
|  49  |  菲律宾          |   1    |   2    |   1    |    4     |
|  49  |  斯洛伐克        |   1    |   2    |   1    |    4     |
|  51  |   南非           |   1    |   2    |   0    |    3     |
|  52  |  奥地利          |   1    |   1    |   5    |    7     |
|  53  |   埃及           |   1    |   1    |   4    |    6     |
|  54  | 印度尼西亚       |   1    |   1    |   3    |    5     |
|  55  |  葡萄牙          |   1    |   1    |   2    |    4     |
|  55  | 埃塞俄比亚       |   1    |   1    |   2    |    4     |
|  57  |  突尼斯          |   1    |   1    |   0    |    2     |
|  58  |  爱尔兰          |   1    |   0    |   2    |    3     |
|  59  |  爱沙尼亚        |   1    |   0    |   1    |    2     |
|  59  |   泰国           |   1    |   0    |   1    |    2     |
|  59  |   斐济           |   1    |   0    |   1    |    2     |
|  59  |  拉脱维亚        |   1    |   0    |   1    |    2     |
|  63  |  百慕大          |   1    |   0    |   0    |    1     |
|  63  |  波多黎各        |   1    |   0    |   0    |    1     |
|  63  |  摩洛哥          |   1    |   0    |   0    |    1     |
|  66  |  哥伦比亚        |   0    |   4    |   1    |    5     |
|  67  |  阿塞拜疆        |   0    |   3    |   4    |    7     |
|  68  |  多米尼加        |   0    |   3    |   2    |    5     |
|  69  |  亚美尼亚        |   0    |   2    |   2    |    4     |
|  70  | 吉尔吉斯斯坦     |   0    |   2    |   1    |    3     |
|  71  |   蒙古           |   0    |   1    |   3    |    4     |
|  72  |  阿根廷          |   0    |   1    |   2    |    3     |
|  72  |  圣马力诺        |   0    |   1    |   2    |    3     |
|  74  |   约旦           |   0    |   1    |   1    |    2     |
|  74  |  尼日利亚        |   0    |   1    |   1    |    2     |
